"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","HHDI","NET","AGRWTH","A","2011",2.40448353184977,
"KOR","HHDI","NET","AGRWTH","A","2012",1.84642967273049,
"KOR","HHDI","NET","AGRWTH","A","2013",3.95306176434267,
"KOR","HHDI","NET","AGRWTH","A","2014",3.64518417349536,
"MEX","HHDI","NET","AGRWTH","A","2004",3.6529917451299,
"MEX","HHDI","NET","AGRWTH","A","2005",3.49021098679865,
"MEX","HHDI","NET","AGRWTH","A","2006",6.30474990681447,
"MEX","HHDI","NET","AGRWTH","A","2007",2.37756080611752,
"MEX","HHDI","NET","AGRWTH","A","2008",2.06155254926971,
"MEX","HHDI","NET","AGRWTH","A","2009",-6.88878803732544,
"MEX","HHDI","NET","AGRWTH","A","2010",5.99463013825517,
"MEX","HHDI","NET","AGRWTH","A","2011",3.30897957189317,
"MEX","HHDI","NET","AGRWTH","A","2012",2.59702332842179,
"MEX","HHDI","NET","AGRWTH","A","2013",3.20032710427179,
"NLD","HHDI","NET","AGRWTH","A","1996",2.11872308460977,
"NLD","HHDI","NET","AGRWTH","A","1997",4.3971146646753,
"NLD","HHDI","NET","AGRWTH","A","1998",3.35010498669556,
"NLD","HHDI","NET","AGRWTH","A","1999",3.28083914782806,
"NLD","HHDI","NET","AGRWTH","A","2000",2.55359447063615,
"NLD","HHDI","NET","AGRWTH","A","2001",5.94014458847159,
"NLD","HHDI","NET","AGRWTH","A","2002",0.638627356271657,
"NLD","HHDI","NET","AGRWTH","A","2003",-0.358638360603641,
"NLD","HHDI","NET","AGRWTH","A","2004",0.022490104546012,
"NLD","HHDI","NET","AGRWTH","A","2005",-0.084047186234731,
"NLD","HHDI","NET","AGRWTH","A","2006",3.27734622353796,
"NLD","HHDI","NET","AGRWTH","A","2007",1.89002149497371,
"NLD","HHDI","NET","AGRWTH","A","2008",0.154234821927703,
"NLD","HHDI","NET","AGRWTH","A","2009",1.6893536173727,
"NLD","HHDI","NET","AGRWTH","A","2010",-0.018235560622247,
"NLD","HHDI","NET","AGRWTH","A","2011",0.809576896813615,
"NLD","HHDI","NET","AGRWTH","A","2012",-0.793811364477497,
"NLD","HHDI","NET","AGRWTH","A","2013",-1.2261494109532,
"NLD","HHDI","NET","AGRWTH","A","2014",-0.221582475175917,
"NLD","HHDI","NET","AGRWTH","A","2015",2.628594669201,
"NZL","HHDI","NET","AGRWTH","A","1999",6.04625904929434,
"NZL","HHDI","NET","AGRWTH","A","2000",-3.12504572699426,
"NZL","HHDI","NET","AGRWTH","A","2001",4.36057838835199,
"NZL","HHDI","NET","AGRWTH","A","2002",1.08259024639786,
